Id,Nome,Biblioteca de formas,ID da p´ágina,Contido por,Grupo,Origem da linha,Destino da linha,Seta de origem,Seta de destino,Status,Área de texto 1,Comentários
1,Documento,,,,,,,,,,DAW,
2,Página,,,,,,,,,,Página 1,
3,Processo,Formas de Fluxograma,2,,,,,,,,User,
4,Exterminador,Formas de Fluxograma,2,,,,,,,,id,
5,Exterminador,Formas de Fluxograma,2,,,,,,,,name,
6,Exterminador,Formas de Fluxograma,2,,,,,,,,email,
7,Exterminador,Formas de Fluxograma,2,,,,,,,,hashedPassword,
8,Exterminador,Formas de Fluxograma,2,,,,,,,,token,
9,Exterminador,Formas de Fluxograma,2,,,,,,,,playCount,
10,Exterminador,Formas de Fluxograma,2,,,,,,,,winCount,
11,Processo,Formas de Fluxograma,2,,,,,,,,Game,
12,Exterminador,Formas de Fluxograma,2,,,,,,,,id,
13,Exterminador,Formas de Fluxograma,2,,,,,,,,lobbyName,
14,Exterminador,Formas de Fluxograma,2,,,,,,,,hostID,
15,Exterminador,Formas de Fluxograma,2,,,,,,,,guestID,
16,Exterminador,Formas de Fluxograma,2,,,,,,,,rules,
17,Exterminador,Formas de Fluxograma,2,,,,,,,,gameCreationDateTime,
18,Exterminador,Formas de Fluxograma,2,,,,,,,,isHostReady,
19,Exterminador,Formas de Fluxograma,2,,,,,,,,isGuestReady,
20,Exterminador,Formas de Fluxograma,2,,,,,,,,gameStatus,
21,Exterminador,Formas de Fluxograma,2,,,,,,,,hostShips,
22,Exterminador,Formas de Fluxograma,2,,,,,,,,hostShots,
23,Exterminador,Formas de Fluxograma,2,,,,,,,,guestShips,
24,Exterminador,Formas de Fluxograma,2,,,,,,,,guestShots,
25,Exterminador,Formas de Fluxograma,2,,,,,,,,dimension,
26,Exterminador,Formas de Fluxograma,2,,,,,,,,shotsPerRound,
27,Exterminador,Formas de Fluxograma,2,,,,,,,,shipsAllowed,
28,Exterminador,Formas de Fluxograma,2,,,,,,,,setupTime,
29,Exterminador,Formas de Fluxograma,2,,,,,,,,timeToMakeMove,
30,Exterminador,Formas de Fluxograma,2,,,,,,,,doAllShipTypesNeedToBeInserted,
31,Decisão,Formas de Fluxograma,2,,,,,,,,Enrolls,
32,Suporte de Nota encaracolado,Formas de Fluxograma,2,,,,,,,,Ship,
33,Texto,Padrão,2,,,,,,,,"shipType
headdirectionisDestroyedpositionsOccupying",
34,Linha,,2,,,3,4,None,None,,,
35,Linha,,2,,,3,5,None,None,,,
36,Linha,,2,,,3,6,None,None,,,
37,Linha,,2,,,3,7,None,None,,,
38,Linha,,2,,,3,8,None,None,,,
39,Linha,,2,,,3,9,None,None,,,
40,Linha,,2,,,3,10,None,None,,,
41,Linha,,2,,,16,25,None,None,,,
42,Linha,,2,,,26,16,None,None,,,
43,Linha,,2,,,27,16,None,None,,,
44,Linha,,2,,,28,16,None,None,,,
45,Linha,,2,,,29,16,None,None,,,
46,Linha,,2,,,30,16,None,None,,,
47,Linha,,2,,,31,3,None,None,,1,
48,Linha,,2,,,31,11,None,None,,N,
49,Linha,,2,,,11,12,None,None,,,
50,Linha,,2,,,13,11,None,None,,,
51,Linha,,2,,,14,11,None,None,,,
52,Linha,,2,,,15,11,None,None,,,
53,Linha,,2,,,17,11,None,None,,,
54,Linha,,2,,,18,11,None,None,,,
55,Linha,,2,,,19,11,None,None,,,
56,Linha,,2,,,11,16,None,None,,,
57,Linha,,2,,,20,11,None,None,,,
58,Linha,,2,,,21,11,None,None,,,
59,Linha,,2,,,22,11,None,None,,,
60,Linha,,2,,,23,11,None,None,,,
61,Linha,,2,,,24,11,None,None,,,
